County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,State
Mercer,5,0,0,,0,5,0,0,0,0,0,
Montgomery,0,0,0,,0,0,0,0,0,0,0,
Northampton,0,0,0,,0,0,0,0,0,0,0,
Pike,0,0,0,,0,0,0,0,0,0,0,
Washington,2,0,1,,1,0,0,0,0,0,0,
Wyoming,0,0,0,,0,0,0,0,0,0,0,
York,7,0,0,,0,7,0,0,0,0,0,
Bedford,0,0,0,,0,0,0,0,0,0,0,PENNSYLVANIA - Nonmetropolitan Counties
Clarion,0,0,0,,0,0,0,0,0,0,0,
Elk,0,0,0,,0,0,0,0,0,0,0,
Greene,0,0,0,,0,0,0,0,0,0,0,
Indiana,0,0,0,,0,0,0,0,0,0,0,
Jefferson,4,0,0,,0,4,2,0,2,0,0,
Lawrence,0,0,0,,0,0,0,0,0,0,0,
Schuylkill,1,0,0,,0,1,1,1,0,0,0,
Snyder,0,0,0,,0,0,0,0,0,0,0,
Tioga,0,0,0,,0,0,0,0,0,0,0,
Union,0,0,0,,0,0,0,0,0,0,0,
Warren,0,0,0,,0,0,0,0,0,0,0,
Wayne,0,0,0,,0,0,0,0,0,0,0,
Aiken,549,10,90,,50,399,"3,105",902,"1,791",412,6,SOUTH CAROLINA - Metropolitan Counties
Anderson,918,16,66,,91,745,"6,334","1,560","4,042",732,22,
Beaufort,421,8,58,,63,292,"2,360",501,"1,672",187,11,
Berkeley,444,8,44,,63,329,"2,847",735,"1,750",362,12,
Calhoun,30,2,2,,3,23,213,77,115,21,3,
Chester,151,1,11,,13,126,555,149,357,49,6,
Darlington,224,4,25,,28,167,"1,780",706,948,126,17,
Fairfield,142,1,3,,8,130,544,147,341,56,7,
Florence,324,7,38,,74,205,"2,507",784,"1,507",216,6,
Greenville,"1,800",24,184,,277,"1,315","9,352","2,281","6,072",999,61,
Horry,6,0,1,,0,5,2,0,2,0,0,
Horry County Police Department,994,21,201,,120,652,"6,888","1,412","4,833",643,48,
Jasper,40,4,4,,14,18,503,134,311,58,2,
Lancaster,254,5,25,,29,195,"1,715",468,"1,173",74,8,
Laurens,142,4,12,,11,115,920,280,536,104,9,
Lexington,514,11,65,,78,360,"4,506",860,"3,115",531,17,
Pickens,281,5,37,,17,222,"1,587",545,853,189,4,
Richland,"1,959",26,137,,300,"1,496","9,684","1,832","6,649","1,203",36,
Saluda,46,1,5,,2,38,179,46,117,16,4,
Spartanburg,749,14,70,,94,571,"5,532","1,287","3,751",494,20,
Sumter,354,1,22,,22,309,"1,872",624,"1,093",155,11,
Union,120,1,11,,14,94,607,156,418,33,8,
York,365,2,51,,38,274,"2,235",598,"1,516",121,11,
Abbeville,44,1,4,,6,33,289,103,171,15,2,SOUTH CAROLINA - Nonmetropolitan Counties
Bamberg,26,0,4,,0,22,144,58,76,10,1,
Barnwell,79,0,5,,7,67,247,67,159,21,6,
Cherokee,115,1,14,,25,75,"1,236",358,807,71,4,
Chesterfield,131,0,7,,8,116,862,268,453,141,5,
Clarendon,78,2,6,,9,61,595,193,355,47,2,
Colleton,209,3,17,,17,172,806,225,505,76,15,
Dillon,142,7,10,,13,112,769,249,474,46,13,
Georgetown,164,2,28,,17,117,"1,184",320,748,116,7,
Greenwood,165,0,25,,15,125,"1,172",270,848,54,0,
Hampton,51,0,3,,8,40,233,76,145,12,0,
Lee,66,1,4,,7,54,307,98,173,36,7,
Marion9,130,2,11,,14,103,,270,299,,1,
Marlboro,116,2,5,,13,96,561,196,312,53,4,
McCormick,21,0,0,,3,18,90,35,44,11,0,
Newberry,43,1,1,,6,35,293,87,189,17,1,
Oconee,146,1,36,,9,100,"1,501",376,"1,032",93,5,
Williamsburg,136,3,11,,20,102,689,234,379,76,9,
Custer,4,0,1,,0,3,42,8,30,4,0,SOUTH DAKOTA - Metropolitan Counties
Lincoln,14,0,1,,1,12,216,65,139,12,1,
McCook,3,0,0,,0,3,32,7,22,3,0,
Meade,23,2,4,,0,17,104,25,66,13,1,
Minnehaha,47,4,6,,1,36,424,171,222,31,3,
Pennington,118,1,52,,5,60,382,78,280,24,1,
Turner,11,0,1,,0,10,50,10,31,9,0,
Union,10,0,3,,0,7,46,4,39,3,0,
Aurora,0,0,0,,0,0,5,1,4,0,0,SOUTH DAKOTA - Nonmetropolitan Counties
Beadle,5,1,0,,0,4,14,4,6,4,0,
Bennett,3,0,0,,0,3,5,1,1,3,0,
Bon Homme,1,0,0,,0,1,0,0,0,0,0,
Brookings,6,0,0,,0,6,53,12,37,4,0,
Brown,9,0,1,,0,8,41,11,25,5,0,
Butte,1,0,0,,0,1,87,11,71,5,0,
Campbell,1,0,0,,0,1,6,4,2,0,0,
Charles Mix,6,0,1,,1,4,36,20,10,6,1,
Clark,3,0,2,,0,1,8,3,5,0,0,
Clay,9,0,1,,0,8,67,30,35,2,0,
Codington,9,0,2,,0,7,40,3,33,4,0,
Corson,1,0,0,,1,0,32,7,22,3,0,
Davison,3,0,2,,0,1,18,5,8,5,0,
Deuel,1,0,0,,0,1,27,4,20,3,0,
Dewey,0,0,0,,0,0,0,0,0,0,0,
Douglas,2,0,0,,0,2,4,2,1,1,0,
Edmunds,2,0,0,,0,2,2,0,2,0,0,
Faulk,0,0,0,,0,0,14,5,9,0,1,
Hamlin,6,0,1,,0,5,17,4,12,1,0,
Harding,2,0,0,,0,2,0,0,0,0,0,
Hughes,7,0,1,,0,6,21,11,7,3,0,
Hutchinson,0,0,0,,0,0,11,9,1,1,0,
Jerauld,0,0,0,,0,0,0,0,0,0,0,
Lawrence,8,0,0,,2,6,168,14,152,2,0,
Marshall,9,0,5,,0,4,47,14,26,7,0,
McPherson,1,0,1,,0,0,14,7,4,3,0,
Miner,0,0,0,,0,0,6,5,1,0,0,
Moody,4,0,0,,0,4,12,3,9,0,0,
Oglala Lakota,0,0,0,,0,0,0,0,0,0,0,
Potter,1,0,1,,0,0,0,0,0,0,0,
Roberts,10,0,0,,0,10,13,4,5,4,0,
Sanborn,8,1,1,,0,6,29,12,16,1,1,
Spink,2,0,1,,0,1,38,10,28,0,0,
Stanley,4,0,1,,0,3,11,6,1,4,0,
Sully,1,0,0,,0,1,1,1,0,0,0,
Tripp,0,0,0,,0,0,16,0,15,1,0,
Walworth,4,0,1,,1,2,4,0,4,0,0,
Yankton,16,0,4,,0,12,38,15,16,7,0,
Ziebach,0,0,0,,0,0,0,0,0,0,0,
Anderson,99,0,2,,6,91,550,188,303,59,5,TENNESSEE - Metropolitan Counties
Blount,412,3,20,,27,362,"1,281",410,773,98,13,
Bradley,204,1,9,,13,181,966,263,584,119,1,
Campbell,108,0,22,,4,82,601,221,325,55,3,
Cannon,15,0,0,,1,14,107,42,52,13,2,
Carter,57,1,2,,4,50,385,107,242,36,0,
Cheatham,84,2,9,,6,67,535,139,345,51,3,
Chester,18,0,1,,0,17,108,38,59,11,1,
Crockett,25,0,0,,0,25,147,49,87,11,1,
Dickson,116,2,12,,4,98,478,201,232,45,4,
Fayette,60,1,1,,7,51,347,116,189,42,0,
Grainger,43,0,5,,0,38,211,75,118,18,3,
Hamblen,111,0,7,,5,99,458,148,251,59,5,
Hamilton,283,2,38,,17,226,"1,673",419,"1,088",166,3,
Hartsville/Trousdale,41,0,4,,0,37,197,33,150,14,0,
Hawkins,74,2,7,,1,64,573,176,337,60,3,
Hickman,81,0,7,,1,73,430,137,251,42,1,
Jefferson,71,1,5,,3,62,469,146,277,46,4,
Knox,698,8,30,,72,588,"4,318",954,"2,962",402,24,
Loudon,80,1,2,,2,75,445,120,274,51,2,
Macon,55,1,3,,0,51,207,73,112,22,1,
Madison,130,0,7,,4,119,572,227,304,41,2,
Marion,53,0,1,,1,51,270,83,136,51,0,
Maury,136,2,19,,9,106,441,100,292,49,4,
Montgomery,113,2,5,,4,102,599,149,413,37,3,
Morgan,49,2,3,,4,40,334,121,170,43,2,
Polk,34,0,1,,1,32,393,138,205,50,2,
Roane,57,0,2,,5,50,447,179,232,36,1,
Robertson,64,1,5,,3,55,211,69,123,19,2,
Rutherford,261,0,18,,9,234,750,178,510,62,11,
Sequatchie,41,0,3,,0,38,121,29,61,31,2,
Shelby,607,18,28,,105,456,"2,490",667,"1,631",192,15,
Smith,32,0,3,,4,25,176,61,100,15,2,
Sullivan,324,0,46,,19,259,"1,152",276,721,155,16,
Sumner,113,4,20,,3,86,531,121,371,39,8,
Tipton,161,2,16,,12,131,567,147,351,69,4,
Unicoi,30,0,1,,2,27,199,30,155,14,2,
Union,39,0,9,,3,27,345,114,202,29,6,
Washington,164,0,14,,7,143,736,218,460,58,6,
Williamson,70,2,9,,2,57,346,93,234,19,0,
Wilson,113,1,6,,3,103,725,243,413,69,0,
Bedford,76,1,7,,0,68,283,84,168,31,3,TENNESSEE - Nonmetropolitan Counties
Benton,7,1,0,,0,6,180,60,111,9,0,
Bledsoe,18,1,2,,0,15,109,17,63,29,0,
Carroll,42,1,5,,1,35,142,63,58,21,0,
Claiborne,55,0,3,,10,42,431,184,200,47,2,
Clay,16,0,0,,0,16,47,11,26,10,1,
Cocke,144,3,6,,8,127,530,193,282,55,9,
Coffee,70,1,3,,1,65,275,103,151,21,2,
Cumberland,50,0,1,,2,47,746,224,426,96,5,
Decatur,22,0,1,,3,18,189,86,80,23,1,
DeKalb,28,0,2,,2,24,155,38,97,20,0,
Dyer,47,0,8,,3,36,342,71,244,27,1,
Fentress,21,0,6,,0,15,217,24,172,21,0,
Franklin,51,0,2,,1,48,161,36,107,18,3,
Gibson,60,0,3,,2,55,241,58,156,27,2,
Giles,46,0,6,,3,37,195,70,105,20,2,
Greene,156,1,5,,15,135,"1,015",293,567,155,11,
Grundy,54,0,4,,0,50,192,92,72,28,3,
Hancock,3,0,1,,0,2,73,17,45,11,1,
Hardeman,57,2,5,,8,42,283,127,123,33,6,
Hardin,59,1,1,,5,52,303,116,150,37,0,
Haywood,34,1,5,,5,23,148,61,76,11,0,
Henderson,66,0,4,,3,59,289,120,141,28,1,
Henry,60,2,5,,3,50,452,181,233,38,0,
Houston,11,0,0,,0,11,57,18,37,2,0,
Humphreys,35,0,8,,2,25,195,87,100,8,1,
Jackson,14,0,1,,0,13,132,44,72,16,0,
Johnson,116,0,0,,2,114,221,88,112,21,5,
Lake,1,0,0,,0,1,5,1,4,0,0,
Lauderdale,37,0,0,,2,35,309,102,180,27,5,
Lawrence,86,1,15,,4,66,429,147,238,44,3,
Lewis,29,0,0,,0,29,159,57,84,18,0,
Lincoln,101,0,8,,4,89,348,122,198,28,3,
Marshall,25,0,0,,2,23,70,19,44,7,0,
McMinn,117,0,8,,5,104,671,198,362,111,8,
McNairy,56,0,7,,0,49,327,52,230,45,4,
Meigs,40,1,2,,2,35,272,84,148,40,2,
Monroe,160,0,6,,5,149,881,264,501,116,1,
Moore,7,0,1,,1,5,67,5,61,1,1,
Obion,40,0,5,,0,35,209,48,149,12,4,
Overton,19,0,2,,0,17,214,32,171,11,3,
Perry,19,0,2,,1,16,107,37,60,10,1,
Pickett,17,0,3,,0,14,54,10,36,8,2,
Putnam,112,0,20,,1,91,494,66,378,50,6,
Rhea,46,0,5,,2,39,276,80,185,11,3,
Scott,37,1,2,,0,34,174,76,74,24,2,
Sevier,155,2,10,,10,133,"1,146",344,671,131,11,
Stewart,57,2,6,,0,49,133,73,49,11,1,
Van Buren,10,1,2,,0,7,56,11,33,12,0,
Warren,60,0,4,,1,55,377,100,237,40,6,
Wayne,37,2,2,,0,33,68,32,28,8,2,
Weakley,21,1,2,,0,18,136,74,51,11,1,
White,62,0,3,,1,58,320,50,235,35,5,
Aransas,91,0,18,,2,71,314,110,188,16,0,TEXAS - Metropolitan Counties
Archer,11,0,1,,1,9,43,9,28,6,1,
Armstrong,3,0,0,,0,3,10,4,5,1,0,
Atascosa,65,1,2,,8,54,510,177,280,53,0,
Austin,26,0,3,,3,20,139,52,65,22,0,
Bandera,38,0,11,,1,26,246,75,146,25,1,
Bastrop,225,5,45,,24,151,822,268,472,82,3,
Bell,103,0,42,,9,52,753,199,489,65,27,
Bexar,611,20,143,,118,330,"6,784","1,370","4,898",516,53,
Bowie,104,1,27,,2,74,489,177,265,47,5,
Brazoria,174,6,8,,36,124,"1,079",270,679,130,8,
Brazos,80,1,10,,2,67,320,90,206,24,3,
Burleson,25,0,6,,3,16,139,64,67,8,1,
Caldwell,35,2,0,,6,27,141,60,65,16,2,
Callahan,5,0,0,,0,5,64,19,31,14,2,
Cameron,195,2,51,,16,126,"1,068",321,705,42,4,
Carson,19,0,0,,0,19,40,9,27,4,1,
Chambers,134,3,17,,12,102,706,137,523,46,5,
Clay,14,3,3,,0,8,100,24,63,13,0,
Collin,66,3,18,,2,43,365,107,229,29,1,
Comal,146,1,37,,8,100,688,201,432,55,1,
Coryell,9,0,0,,1,8,98,41,52,5,0,
Crosby,1,0,0,,0,1,3,3,0,0,0,
Dallas,45,1,13,,3,28,303,78,187,38,1,
Denton,70,1,15,,8,46,630,143,427,60,3,
Ector,135,3,24,,35,73,"1,962",361,"1,354",247,1,
Ellis,72,3,13,,6,50,458,132,284,42,1,
El Paso,267,6,50,,25,186,847,231,556,60,11,
Falls,5,1,0,,1,3,84,28,47,9,0,
Fort Bend,758,18,83,,141,516,"4,419","1,149","3,006",264,32,
Galveston,141,1,23,,22,95,"1,007",292,620,95,16,
Goliad,16,0,2,,2,12,92,38,51,3,1,
Grayson,70,1,13,,1,55,450,105,283,62,0,
Gregg,55,1,7,,10,37,451,149,253,49,2,
Guadalupe,60,1,31,,10,18,584,174,347,63,4,
Hardin,41,2,11,,0,28,301,108,144,49,3,
Harris,"8,854",92,537,,"3,044","5,181","45,228","9,162","29,962","6,104",292,
Hays,157,1,28,,22,106,882,262,545,75,1,
Hidalgo,586,10,133,,130,313,"4,528","1,417","2,813",298,29,
Hood,85,0,11,,7,67,389,121,240,28,6,
Hudspeth,4,0,0,,0,4,12,0,11,1,0,
Hunt,104,2,9,,9,84,660,259,300,101,3,
Irion,1,0,0,,0,1,29,9,20,0,0,
Jefferson,70,1,11,,9,49,366,95,231,40,6,
Johnson,129,2,25,,5,97,740,220,433,87,9,
Kaufman,136,1,28,,11,96,551,196,275,80,0,
Lampasas,1,0,0,,0,1,120,33,83,4,0,
Liberty,166,2,36,,4,124,685,256,348,81,6,
Lubbock,109,0,15,,9,85,686,192,420,74,1,
Lynn,2,2,0,,0,0,25,20,3,2,0,
Martin,2,0,0,,0,2,67,32,33,2,0,
McLennan,96,1,25,,5,65,503,183,265,55,6,
Medina,48,2,20,,1,25,372,121,219,32,0,
Midland,61,0,1,,6,54,727,125,511,91,0,
Montgomery,531,10,52,,90,379,"4,982","1,011","3,480",491,15,
Nueces,65,2,9,,2,52,216,92,118,6,1,
Oldham,3,0,0,,0,3,8,5,3,0,0,
Orange,90,0,10,,7,73,645,196,361,88,9,
Parker,110,1,23,,3,83,747,258,428,61,4,
Potter,42,3,3,,7,29,235,65,134,36,1,
Randall,43,0,14,,1,28,339,94,193,52,2,
Robertson,7,0,5,,0,2,95,34,57,4,0,
Rockwall,21,0,5,,3,13,70,19,40,11,0,
Rusk,92,2,11,,1,78,565,196,310,59,1,
San Patricio,31,2,0,,0,29,303,108,169,26,0,
Smith,226,2,3,,41,180,"2,259",750,"1,252",257,17,
Somervell,13,0,0,,1,12,70,33,32,5,0,
Tarrant,113,3,40,,14,56,823,249,481,93,22,
Taylor,27,0,6,,0,21,155,74,72,9,0,
Tom Green,29,0,18,,4,7,403,190,183,30,4,
Travis,684,10,53,,64,557,"3,339",856,"2,234",249,32,
Upshur,49,0,3,,4,42,358,162,161,35,0,
Victoria,112,0,34,,6,72,501,173,289,39,2,
Waller,46,1,22,,1,22,341,114,205,22,0,
Webb,35,0,0,,3,32,226,84,138,4,1,
Wichita,7,0,0,,0,7,91,38,31,22,0,
Williamson,175,1,44,,15,115,"1,366",308,956,102,6,
Wilson,29,1,1,,1,26,220,79,111,30,2,
Wise,74,1,10,,2,61,273,88,147,38,8,
Anderson,55,0,6,,7,42,330,133,157,40,0,TEXAS - Nonmetropolitan Counties
Andrews,14,1,6,,0,7,116,31,67,18,0,
Angelina,88,0,23,,2,63,539,189,301,49,1,
Bailey,10,0,0,,0,10,41,18,21,2,0,
Baylor,0,0,0,,0,0,20,12,7,1,0,
Bee,25,0,0,,1,24,127,42,78,7,2,
Blanco,11,0,4,,0,7,49,13,28,8,0,
Borden,4,0,0,,0,4,7,3,3,1,0,
Bosque9,4,0,0,,0,4,,,42,2,0,
Brewster,6,0,2,,0,4,35,15,19,1,0,
Briscoe,0,0,0,,0,0,13,5,7,1,1,
Brooks,1,0,0,,0,1,2,2,0,0,0,
Brown,22,3,0,,0,19,144,54,85,5,4,
Burnet,51,0,21,,1,29,276,87,158,31,0,
Calhoun,16,0,2,,0,14,156,47,102,7,0,
Camp,6,1,1,,2,2,99,31,55,13,0,
Cass,44,0,10,,1,33,326,152,146,28,1,
Castro,1,0,0,,0,1,52,22,26,4,0,
Cherokee,72,3,16,,2,51,534,201,284,49,1,
Childress,0,0,0,,0,0,10,6,3,1,0,
Cochran,7,0,4,,0,3,76,20,50,6,0,
Coke,1,0,0,,0,1,29,14,12,3,0,
Collingsworth,9,0,0,,0,9,12,6,5,1,0,
Colorado,33,0,3,,2,28,140,44,73,23,0,
Comanche,6,0,0,,0,6,88,24,62,2,0,
Concho,1,0,0,,0,1,14,8,4,2,0,
Cooke,33,0,5,,2,26,149,64,72,13,2,
Cottle,0,0,0,,0,0,0,0,0,0,0,
Crane,2,0,0,,0,2,26,9,16,1,0,
Crockett,3,0,0,,0,3,37,14,20,3,0,
Culberson,0,0,0,,0,0,0,0,0,0,0,
Dallam,0,0,0,,0,0,8,5,2,1,0,
Dawson,2,0,1,,0,1,45,18,21,6,0,
Deaf Smith,4,0,1,,0,3,73,27,41,5,1,
Delta,0,0,0,,0,0,28,18,9,1,4,
DeWitt,25,0,6,,1,18,123,49,66,8,0,
Dickens,1,0,0,,0,1,12,6,6,0,0,
Dimmit,3,0,1,,0,2,182,39,135,8,2,
Donley,3,0,1,,1,1,45,8,31,6,1,
Duval,41,1,0,,1,39,143,55,67,21,4,
Eastland,3,0,3,,0,0,57,31,26,0,0,
Edwards,4,0,0,,0,4,18,4,11,3,0,
Erath,21,0,9,,0,12,105,42,59,4,1,
Fannin,25,0,4,,2,19,112,43,52,17,3,
Fayette,11,1,2,,2,6,137,54,74,9,4,
Fisher,13,0,0,,0,13,53,19,29,5,1,
Floyd,10,0,3,,0,7,42,16,23,3,0,
Foard,0,0,0,,0,0,0,0,0,0,0,
Franklin,27,1,9,,0,17,92,46,40,6,0,
Freestone,9,0,0,,0,9,113,52,57,4,0,
Frio,6,0,0,,2,4,66,25,36,5,0,
Gaines,11,0,4,,1,6,68,27,34,7,1,
Garza,10,0,4,,1,5,53,13,37,3,0,
Gillespie,4,0,0,,0,4,75,25,42,8,0,
Glasscock,0,0,0,,0,0,17,7,8,2,0,
Gonzales,19,0,5,,1,13,107,33,67,7,0,
Gray,16,0,2,,4,10,114,38,67,9,0,
Grimes,23,4,0,,4,15,246,89,141,16,3,
Hale,18,0,0,,0,18,91,37,53,1,0,
Hall,2,0,0,,1,1,8,5,3,0,0,
Hansford,8,0,0,,0,8,11,0,11,0,0,
Hardeman,2,0,0,,0,2,39,12,22,5,1,
Harrison,53,0,19,,2,32,269,115,141,13,0,
Hartley,1,0,0,,0,1,29,12,13,4,0,
Haskell,1,0,0,,0,1,38,12,16,10,0,
Hemphill,12,0,2,,1,9,37,7,25,5,1,
Henderson,206,2,52,,4,148,"1,062",424,543,95,0,
Hill,38,0,5,,5,28,268,124,140,4,0,
Hockley,25,0,0,,1,24,93,34,54,5,0,
Hopkins,22,0,4,,0,18,87,35,45,7,6,
Houston,9,1,1,,0,7,144,70,64,10,0,
Howard,25,0,4,,1,20,237,66,157,14,6,
Hutchinson,21,0,4,,0,17,86,35,41,10,4,
Jack,11,0,1,,0,10,41,17,19,5,1,
Jackson,18,0,4,,1,13,56,20,29,7,0,
Jasper,80,0,27,,3,50,296,135,123,38,3,
Jeff Davis,2,0,1,,0,1,8,8,0,0,1,
Jim Hogg,2,0,0,,0,2,9,4,5,0,0,
Karnes,13,0,1,,3,9,80,17,57,6,0,
Kenedy,6,0,3,,0,3,7,3,2,2,0,
Kent,3,0,0,,0,3,10,5,5,0,0,
Kerr,47,6,19,,1,21,305,82,206,17,2,
Kimble,1,0,0,,0,1,14,9,3,2,0,
King,0,0,0,,0,0,0,0,0,0,0,
Kinney,1,0,0,,0,1,11,10,0,1,0,
Kleberg,26,0,7,,1,18,85,17,59,9,0,
Knox,4,0,3,,1,0,20,8,11,1,0,
Lamar,29,0,10,,3,16,238,69,159,10,2,
Lamb,2,0,0,,1,1,73,25,41,7,7,
La Salle,7,0,1,,0,6,55,5,49,1,0,
Lavaca9,13,0,2,,0,11,,,30,4,0,
Lee,16,0,4,,3,9,104,38,62,4,1,
Leon,24,0,2,,0,22,211,79,120,12,0,
Limestone,19,0,2,,2,15,156,47,99,10,2,
Lipscomb,4,0,0,,0,4,12,2,10,0,0,
Live Oak,15,2,1,,1,11,147,59,75,13,0,
Llano,11,1,2,,0,8,132,50,80,2,0,
Loving,0,0,0,,0,0,11,0,10,1,0,
Madison,9,0,4,,3,2,102,52,48,2,0,
Mason,2,0,0,,0,2,43,19,20,4,0,
Matagorda,65,1,9,,6,49,336,126,192,18,1,
Maverick,62,0,9,,0,53,482,127,322,33,0,
McCulloch,2,1,0,,0,1,6,1,5,0,0,
McMullen,1,0,0,,0,1,26,12,14,0,0,
Menard,0,0,0,,0,0,4,2,2,0,0,
Milam,11,0,0,,0,11,96,32,58,6,0,
Mills,2,0,0,,0,2,26,10,14,2,1,
Mitchell,1,0,0,,0,1,13,8,5,0,0,
Montague,9,0,0,,0,9,49,12,31,6,0,
Moore,10,0,0,,0,10,69,24,40,5,0,
Morris,11,0,4,,0,7,81,31,39,11,0,
Motley,0,0,0,,0,0,14,0,13,1,0,
Nacogdoches,70,0,12,,2,56,275,89,162,24,2,
Nolan,5,0,0,,1,4,39,13,23,3,0,
Ochiltree,7,0,1,,0,6,30,11,16,3,0,
Palo Pinto,2,0,0,,1,1,95,55,33,7,0,
Panola,27,0,3,,1,23,291,94,163,34,0,
Parmer,1,0,0,,0,1,34,16,18,0,0,
Pecos,9,1,1,,1,6,60,45,14,1,1,
Polk,66,1,29,,8,28,523,185,296,42,0,
Presidio,3,0,0,,0,3,28,13,9,6,0,
Rains,14,0,0,,0,14,117,34,70,13,0,
Reagan,4,0,0,,0,4,67,12,53,2,1,
Real,6,0,0,,0,6,39,17,20,2,0,
Red River,8,0,2,,0,6,87,41,44,2,0,
Reeves,5,1,1,,0,3,107,15,88,4,0,
Refugio,8,0,1,,0,7,44,8,28,8,0,
Roberts,0,0,0,,0,0,8,1,6,1,0,
Runnels,3,0,0,,0,3,33,9,23,1,0,
Sabine,29,0,4,,0,25,150,63,73,14,1,
San Augustine,36,1,5,,0,30,81,39,33,9,0,
San Jacinto,47,1,13,,4,29,362,144,170,48,0,
San Saba,2,0,1,,0,1,26,11,10,5,0,
Schleicher,0,0,0,,0,0,54,13,40,1,0,
Scurry,11,0,1,,1,9,67,30,34,3,0,
Shackelford,2,0,1,,0,1,32,9,18,5,0,
Shelby,27,1,3,,2,21,176,81,86,9,0,
Sherman,1,0,0,,0,1,4,0,3,1,0,
Starr,115,4,20,,9,82,298,100,155,43,3,
Stephens,4,0,2,,0,2,30,15,13,2,3,
Sterling,0,0,0,,0,0,1,0,0,1,0,
Stonewall,2,0,0,,0,2,5,4,0,1,0,
Sutton,0,0,0,,0,0,1,1,0,0,0,
Terrell,2,2,0,,0,0,12,3,8,1,0,
Terry,4,0,0,,0,4,49,13,34,2,0,
Throckmorton,0,0,0,,0,0,0,0,0,0,0,
Titus,45,1,11,,1,32,179,87,84,8,0,
Trinity9,20,0,4,,0,16,,,,9,0,
Tyler,75,2,13,,5,55,238,122,92,24,3,
Upton,5,0,2,,0,3,15,4,11,0,0,
Uvalde,11,3,0,,1,7,103,40,61,2,1,
Val Verde,12,0,3,,2,7,188,84,97,7,5,
Van Zandt,3,0,0,,1,2,312,157,154,1,0,
Walker,91,1,20,,6,64,276,99,130,47,0,
Ward,49,0,6,,1,42,140,54,72,14,1,
Washington,26,0,5,,2,19,131,68,59,4,1,
Wharton,74,0,16,,2,56,315,123,159,33,2,
Wheeler,5,0,0,,0,5,55,14,39,2,2,
Wilbarger,1,0,0,,0,1,38,22,15,1,0,
Willacy,52,0,10,,5,37,151,46,102,3,1,
Winkler,2,0,0,,0,2,37,11,21,5,0,
Wood,43,1,16,,2,24,292,143,129,20,0,
Yoakum,10,0,1,,0,9,40,14,22,4,0,
Young,5,0,0,,0,5,49,19,28,2,0,
Zavala,17,0,1,,0,16,91,31,56,4,0,
Box Elder,18,0,7,,0,11,228,61,148,19,0,UTAH - Metropolitan Counties
Cache,17,0,7,,2,8,237,56,162,19,0,
Davis,20,0,11,,0,9,238,41,190,7,1,
Juab,6,0,0,,0,6,88,14,65,9,0,
Salt Lake County Unified Police Department,861,17,126,,246,472,"12,091","1,845","8,594","1,652",22,
Utah,40,1,12,,0,27,363,73,268,22,1,
Washington,29,0,8,,1,20,137,43,81,13,0,
Weber,36,1,11,,4,20,936,197,666,73,1,
Beaver,1,1,0,,0,0,119,29,81,9,4,UTAH - Nonmetropolitan Counties
Carbon,11,0,2,,1,8,86,22,62,2,2,
Duchesne,38,1,12,,0,25,331,79,195,57,2,
Emery,16,3,2,,0,11,106,22,71,13,1,
Iron,25,0,3,,1,21,146,57,70,19,2,
Kane,10,0,3,,0,7,19,1,10,8,0,
Millard,38,0,5,,2,31,203,29,149,25,3,
Rich,2,0,0,,0,2,32,14,18,0,0,
San Juan,7,1,0,,1,5,73,16,52,5,1,
Sanpete,22,0,7,,0,15,145,33,102,10,0,
Sevier,15,1,3,,0,11,149,29,108,12,0,
Summit,25,0,6,,4,15,472,55,390,27,2,
Uintah,19,0,5,,1,13,260,68,158,34,0,
Wasatch,12,0,2,,0,10,78,14,56,8,1,
Chittenden,0,0,0,,0,0,2,0,2,0,0,VERMONT - Metropolitan Counties
Franklin,5,0,2,,0,3,60,17,43,0,0,
Grand Isle,1,0,1,,0,0,42,18,23,1,0,
Lamoille,8,0,1,,0,7,44,11,33,0,1,VERMONT - Nonmetropolitan Counties
Windham,0,0,0,,0,0,25,10,15,0,0,
Albemarle County Police Department,88,1,29,,21,37,"1,271",145,"1,061",65,8,VIRGINIA - Metropolitan Counties
Amelia,18,2,6,,2,8,125,28,87,10,0,
Amherst,32,1,13,,6,12,279,35,222,22,2,
Appomattox,14,0,5,,2,7,129,18,107,4,0,
Arlington County Police Department,363,1,56,,103,203,"3,252",170,"2,912",170,5,
Augusta,65,4,11,,3,47,715,206,467,42,5,
Bedford,40,1,11,,4,24,478,107,347,24,2,
Botetourt,36,0,14,,1,21,234,34,187,13,0,
Buckingham,18,0,4,,2,12,145,26,108,11,1,
Campbell,112,6,15,,8,83,612,104,479,29,0,
Caroline,37,1,15,,3,18,303,65,238,0,1,
Charles City,3,0,0,,0,3,29,11,15,3,1,
Chesterfield County Police Department,469,9,94,,194,172,"6,546","1,096","5,096",354,55,
Clarke,11,1,3,,0,7,93,26,62,5,0,
Craig,2,0,1,,0,1,23,4,18,1,0,
Culpeper,27,0,2,,7,18,163,26,122,15,2,
Dinwiddie,56,0,4,,7,45,303,57,215,31,0,
Fairfax County Police Department,"1,052",20,173,,461,398,"14,511",822,"12,876",813,30,
Fauquier,38,0,8,,2,28,434,53,351,30,1,
